name,address,rating,reviews_count,website,phones,instagram,whatsapp_link,dmi_score,dmi_status,data_source,digital_silence_index,digital_silence_label,smartos_readiness_score,inquiry_leakage_probability,digistories_opportunity_score,recommended_product,conversion_likelihood_band,collection_mode,data_quality_grade,conversion_likelihood_score,google_confidence_score,website_confidence_score,instagram_confidence_score
Swagat Banquet Hall,"Dadar, Dadar, Maharashtra",3.5,8,,,None,None,17.56,Digitally Invisible,ai_estimate,100,Severe Silence,12.0,0.88,100,DigiStories + SmartOS,Low,auto,C,28.2,0.75,0.3,0.35
Swatantryaveer Savarkar Sabhagriha,"Shivaji Park, Dadar, Maharashtra",4.3,73,,,swatantryaveersavark,None,57.84,Visibility Weak,ai_estimate,15,Active Pulse,27.0,0.73,10,SmartOS,Low,auto,B,12.45,0.75,0.3,0.45
Kohinoor Hall,"Dadar, Dadar, Maharashtra",3.9,24,,,kohinoorhall,None,28.67,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,80,DigiStories + SmartOS,Low,auto,B,25.2,0.75,0.3,0.45
Mayfair Banquets,"Worli, South Mumbai, Maharashtra",3.8,15,,,mayfairbanquets,None,23.18,Digitally Invisible,ai_estimate,75,Severe Silence,12.0,0.88,80,DigiStories + SmartOS,Low,auto,B,25.2,0.75,0.3,0.45
Jewel of India (Jade Ballroom),"Worli, South Mumbai, Maharashtra",3.9,24,,,jewelofindia(jadebal,None,21.47,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,90,DigiStories + SmartOS,Low,auto,B,26.7,0.75,0.3,0.45
Ramee Guestline Banquets,"Dadar, Dadar, Maharashtra",4.2,63,,,rameeguestlinebanque,None,55.13,Visibility Weak,ai_estimate,15,Active Pulse,27.0,0.73,25,SmartOS,Low,auto,B,14.7,0.75,0.3,0.45
Ahilyadevi Sabhagruh,"Dadar, Dadar, Maharashtra",4.1,48,,,ahilyadevisabhagruh,None,40.17,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,15,SmartOS,Low,auto,B,15.45,0.75,0.3,0.45
Lala Lajpatrai Hall,"Mahalaxmi, South Mumbai, Maharashtra",4.2,39,,,lalalajpatraihall,None,29.95,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,55,DigiStories + SmartOS,Low,auto,B,21.45,0.75,0.3,0.45
Royal Symphony Banquet,"Dadar, Dadar, Maharashtra",4.1,30,,,royalsymphonybanquet,None,27.59,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,80,DigiStories + SmartOS,Low,auto,B,25.2,0.75,0.3,0.45
Dadar Gymkhana Banquets,"Shivaji Park, Dadar, Maharashtra",4.2,53,,,dadargymkhanabanquet,None,39.98,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,10,SmartOS,Low,auto,B,14.7,0.75,0.3,0.45
Sharda Sabhagriha,"Dadar, Dadar, Maharashtra",4.0,38,,,shardasabhagriha,None,36.51,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,15,SmartOS,Low,auto,B,15.45,0.75,0.3,0.45
P. L. Deshpande Mini Hall,"Prabhadevi, South Mumbai, Maharashtra",4.3,73,,,p.l.deshpandeminihal,None,65.34,Growth Ready,ai_estimate,15,Active Pulse,47.0,0.53,25,DigiStories,Low,auto,B,11.7,0.75,0.3,0.45
Maharashtra College Hall,"Byculla, South Mumbai, Maharashtra",4.2,58,,,maharashtracollegeha,None,48.08,Visibility Weak,ai_estimate,15,Active Pulse,32.0,0.68,55,DigiStories + SmartOS,Low,auto,B,18.45,0.75,0.3,0.45
Bombay Y.M.C.A. Banquets,"Colaba, South Mumbai, Maharashtra",4.0,43,,,bombayy.m.c.a.banque,None,39.41,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,25,SmartOS,Low,auto,B,16.95,0.75,0.3,0.45
Royal Garden Banquet,"Dadar, Dadar, Maharashtra",4.2,36,,,royalgardenbanquet,None,27.09,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,80,DigiStories + SmartOS,Low,auto,B,25.2,0.75,0.3,0.45
Hindu Gymkhana Grounds,"Marine Drive, South Mumbai, Maharashtra",4.0,27,,,hindugymkhanagrounds,None,29.94,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,90,DigiStories + SmartOS,Low,auto,B,26.7,0.75,0.3,0.45
Parsi Gymkhana Grounds,"Marine Drive, South Mumbai, Maharashtra",3.8,18,,,parsigymkhanagrounds,None,23.91,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,90,DigiStories + SmartOS,Low,auto,B,26.7,0.75,0.3,0.45
Wodehouse Gymkhana Banquets,"Colaba, South Mumbai, Maharashtra",4.5,83,,,wodehousegymkhanaban,None,69.56,Growth Ready,ai_estimate,15,Active Pulse,47.0,0.53,10,DigiStories,Low,auto,B,9.45,0.75,0.3,0.45
Vivette Luxury Banquets,"Malad West, Malad, Maharashtra",4.1,30,,,vivetteluxurybanquet,None,28.71,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,55,DigiStories + SmartOS,Low,auto,B,21.45,0.75,0.3,0.45
Evershine Banquets,"Malad West, Malad, Maharashtra",3.6,14,,,None,None,18.44,Digitally Invisible,ai_estimate,100,Severe Silence,12.0,0.88,100,DigiStories + SmartOS,Low,auto,C,28.2,0.75,0.3,0.35
Merchant Banquet Hall,"Malad West, Malad, Maharashtra",4.0,38,,,merchantbanquethall,None,40.16,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,0,SmartOS,Low,auto,B,13.2,0.75,0.3,0.45
Golden Leaf Banquet,"Malad West, Malad, Maharashtra",4.1,33,,,goldenleafbanquet,None,28.32,Digitally Invisible,ai_estimate,60,At Risk,12.0,0.88,80,DigiStories + SmartOS,Low,auto,B,25.2,0.75,0.3,0.45
Royal Orchid Banquets,"Chembur, Chembur, Maharashtra",3.7,16,,,royalorchidbanquets,None,22.69,Digitally Invisible,ai_estimate,100,Severe Silence,12.0,0.88,80,DigiStories + SmartOS,Low,auto,B,25.2,0.75,0.3,0.45
The Acres Club,"Chembur, Chembur, Maharashtra",4.0,43,,,theacresclub,None,40.76,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,0,SmartOS,Low,auto,B,13.2,0.75,0.3,0.45
GCC Hotel and Club,"Mira Road, Mira Road, Maharashtra",3.9,24,,,gcchotelandclub,None,21.47,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,90,DigiStories + SmartOS,Low,auto,B,26.7,0.75,0.3,0.45
Juhu Club Millennium,"Juhu, Andheri, Maharashtra",4.2,63,,,juhuclubmillennium,None,63.98,Visibility Weak,ai_estimate,15,Active Pulse,47.0,0.53,15,DigiStories,Low,auto,B,10.2,0.75,0.3,0.45
Goldfinch Banquets,"Andheri East, Andheri, Maharashtra",4.1,48,,,goldfinchbanquets,None,41.52,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,0,SmartOS,Low,auto,B,13.2,0.75,0.3,0.45
Tunga Paradise Banquet,"Andheri East, Andheri, Maharashtra",4.5,83,,,tungaparadisebanquet,None,65.91,Growth Ready,ai_estimate,15,Active Pulse,47.0,0.53,40,DigiStories,Low,auto,B,13.95,0.75,0.3,0.45
VITS Hotel Banquets,"Andheri East, Andheri, Maharashtra",4.3,68,,,vitshotelbanquets,None,55.89,Visibility Weak,ai_estimate,15,Active Pulse,27.0,0.73,15,SmartOS,Low,auto,B,13.2,0.75,0.3,0.45
Peninsula Grand Banquets,"Sakinaka, Andheri, Maharashtra",3.9,21,,,peninsulagrandbanque,None,26.18,Digitally Invisible,ai_estimate,85,Severe Silence,12.0,0.88,80,DigiStories + SmartOS,Low,auto,B,25.2,0.75,0.3,0.45
Kohinoor Continental Banquets,"Andheri East, Andheri, Maharashtra",4.0,38,,,kohinoorcontinentalb,None,37.86,Operationally Chaotic,ai_estimate,15,Active Pulse,12.0,0.88,10,SmartOS,Low,auto,B,14.7,0.75,0.3,0.45
