name,address,rating,reviews_count,website,phones,emails,instagram,facebook,whatsapp_link,dmi_score,dmi_status,target_tier,snapshot,whatsapp_pitch
Swagat Banquet Hall,"Dadar, Mumbai, Maharashtra",3.6,2,None,9819576256,contact@venue.com,None,None,None,8,Digitally Invisible,Tier C (Traditional - Needs Education),"BCA Digital Initiative — Swagat Banquet Hall Audit Snapshot:
- Instagram Freshness: Weak
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 8/100 (Digitally Invisible)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Swagat Banquet Hall Audit Snapshot:
- Instagram Freshness: Weak
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 8/100 (Digitally Invisible)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Swatantryaveer Savarkar Sabhagriha,"Shivaji Park, Mumbai, Maharashtra",3.7,5,None,9819576256,contact@venue.com,None,None,None,8,Digitally Invisible,Tier C (Traditional - Needs Education),"BCA Digital Initiative — Swatantryaveer Savarkar Sabhagriha Audit Snapshot:
- Instagram Freshness: Weak
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 8/100 (Digitally Invisible)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Swatantryaveer Savarkar Sabhagriha Audit Snapshot:
- Instagram Freshness: Weak
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 8/100 (Digitally Invisible)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Kohinoor Hall,"Dadar, Mumbai, Maharashtra",3.8000000000000003,8,None,9819576256,contact@venue.com,None,None,None,8,Digitally Invisible,Tier C (Traditional - Needs Education),"BCA Digital Initiative — Kohinoor Hall Audit Snapshot:
- Instagram Freshness: Weak
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 8/100 (Digitally Invisible)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Kohinoor Hall Audit Snapshot:
- Instagram Freshness: Weak
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 8/100 (Digitally Invisible)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Mayfair Banquets,"Worli, Mumbai, Maharashtra",4.0,36,None,9819576256,contact@venue.com,@mayfairbanquets_mumbai,None,None,43,Visibility Weak,Tier B (Growth Business),"BCA Digital Initiative — Mayfair Banquets Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 43/100 (Visibility Weak)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Mayfair Banquets Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 43/100 (Visibility Weak)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Jewel of India (Jade Ballroom),"Worli, Mumbai, Maharashtra",4.05,44,None,9819576256,contact@venue.com,@jewelofindia(jadeballroom)_mumbai,None,None,43,Visibility Weak,Tier B (Growth Business),"BCA Digital Initiative — Jewel of India (Jade Ballroom) Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 43/100 (Visibility Weak)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Jewel of India (Jade Ballroom) Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: Moderate
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 43/100 (Visibility Weak)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Ramee Guestline Banquets,"Dadar, Mumbai, Maharashtra",4.1,52,None,9819576256,contact@venue.com,@rameeguestlinebanquets_mumbai,None,None,47,Visibility Weak,Tier B (Growth Business),"BCA Digital Initiative — Ramee Guestline Banquets Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 47/100 (Visibility Weak)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Ramee Guestline Banquets Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 47/100 (Visibility Weak)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Ahilyadevi Sabhagruh,"Dadar, Mumbai, Maharashtra",4.15,60,None,9819576256,contact@venue.com,@ahilyadevisabhagruh_mumbai,None,None,47,Visibility Weak,Tier B (Growth Business),"BCA Digital Initiative — Ahilyadevi Sabhagruh Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 47/100 (Visibility Weak)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Ahilyadevi Sabhagruh Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 47/100 (Visibility Weak)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Lala Lajpatrai Hall,"Mahalaxmi, Mumbai, Maharashtra",4.2,68,None,9819576256,contact@venue.com,@lalalajpatraihall_mumbai,None,None,47,Visibility Weak,Tier B (Growth Business),"BCA Digital Initiative — Lala Lajpatrai Hall Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 47/100 (Visibility Weak)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Lala Lajpatrai Hall Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 47/100 (Visibility Weak)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Royal Symphony Banquet,"Dadar, Mumbai, Maharashtra",4.4,325,None,9819576256,contact@venue.com,@royalsymphonybanquet,None,None,49,Visibility Weak,Tier B (Growth Business),"BCA Digital Initiative — Royal Symphony Banquet Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 49/100 (Visibility Weak)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Royal Symphony Banquet Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 49/100 (Visibility Weak)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
Dadar Gymkhana Banquets,"Shivaji Park, Mumbai, Maharashtra",4.5,360,None,9819576256,contact@venue.com,@dadargymkhanabanquets,None,None,49,Visibility Weak,Tier B (Growth Business),"BCA Digital Initiative — Dadar Gymkhana Banquets Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 49/100 (Visibility Weak)","Namaste Bhai, Rohit Nate here from Dadar (fellow BCA member). We are running the BCA Digital Readiness Initiative. Here is the quick audit snapshot for your venue:

BCA Digital Initiative — Dadar Gymkhana Banquets Audit Snapshot:
- Instagram Freshness: Active
- Google Maps Visibility: High
- Inquiry Management: Manual / Offline
- WhatsApp Structure: Unorganized
- Booking Workflow: Offline Register
Digital Maturity Score: 49/100 (Visibility Weak)

I have your 2-page detailed report. Let me know if we can discuss on WhatsApp."
