business_name,data_source,google_maps_url,area,suburb,phone,dmi_score,dmi_category,tier,recommended_product,recommendation_reason,key_weaknesses,inquiry_leakage_probability,digital_silence_index,priority_score,conversion_likelihood_score,conversion_likelihood_band,data_quality_grade,priority_reason,whatsapp_script
Swagat Banquet Hall,ai_estimate,https://maps.google.com/?q=Swagat+Banquet+Hall+Dadar,Dadar,Dadar,,17.56,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,233.64,28.2,Low,C,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Swagat Banquet Hall*, Dadar.
Google pe practically invisible hai abhi. Koi family 'banquet hall Dadar' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Evershine Banquets,ai_estimate,https://maps.google.com/?q=Evershine+Banquets+Malad West,Malad West,Malad,,18.44,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,233.64,28.2,Low,C,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Evershine Banquets*, Malad West.
Google pe practically invisible hai abhi. Koi family 'banquet hall Malad West' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Regency Hall,ai_estimate,https://maps.google.com/?q=Regency+Hall+Kalyan,Kalyan,Kalyan,,18.2,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,233.64,28.2,Low,C,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Regency Hall*, Kalyan.
Google pe practically invisible hai abhi. Koi family 'banquet hall Kalyan' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Panvel Grand Banquet,ai_estimate,https://maps.google.com/?q=Panvel+Grand+Banquet+Panvel,Panvel,Panvel,,17.8,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,233.64,28.2,Low,C,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Panvel Grand Banquet*, Panvel.
Google pe practically invisible hai abhi. Koi family 'banquet hall Panvel' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Raaga Heritage Banquets,ai_estimate,https://maps.google.com/?q=Raaga+Heritage+Banquets+Hinjewadi,Hinjewadi,Hinjewadi,,20.52,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,227.64,28.2,Low,C,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Raaga Heritage Banquets*, Hinjewadi.
Google pe practically invisible hai abhi. Koi family 'banquet hall Hinjewadi' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Bramha Banquet,ai_estimate,https://maps.google.com/?q=Bramha+Banquet+Thane West,Thane West,Thane West,,23.55,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,223.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Bramha Banquet*, Thane West.
Google pe practically invisible hai abhi. Koi family 'banquet hall Thane West' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Yash Lawns,ai_estimate,https://maps.google.com/?q=Yash+Lawns+Bibwewadi,Bibwewadi,Pune Central,,25.3,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,223.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Yash Lawns*, Bibwewadi.
Google pe practically invisible hai abhi. Koi family 'banquet hall Bibwewadi' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Sai Palace Banquets,ai_estimate,https://maps.google.com/?q=Sai+Palace+Banquets+Wakad,Wakad,Wakad,,23.93,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,223.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Sai Palace Banquets*, Wakad.
Google pe practically invisible hai abhi. Koi family 'banquet hall Wakad' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Jewel of India (Jade Ballroom),ai_estimate,https://maps.google.com/?q=Jewel+of+India+(Jade+Ballroom)+Worli,Worli,South Mumbai,,21.47,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Jewel of India (Jade Ballroom)*, Worli.
Google pe practically invisible hai abhi. Koi family 'banquet hall Worli' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Hindu Gymkhana Grounds,ai_estimate,https://maps.google.com/?q=Hindu+Gymkhana+Grounds+Marine Drive,Marine Drive,South Mumbai,,29.94,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Hindu Gymkhana Grounds*, Marine Drive.
Google pe practically invisible hai abhi. Koi family 'banquet hall Marine Drive' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
